job_id,experience_required,salary_min,salary_max,C++_expected,Python_expected,Java_expected,SQL_expected,Excel_expected,JavaScript_expected,HTML_expected,CSS_expected,Machine Learning_expected,Data Analysis_expected,Project Management_expected
0,6,97408,136015,7.090879955360081,4.502062461668483,9.844557542396917,6.571850641954672,8.464374074802652,1.9335805960019925,9.718295284220641,4.228499587309832,7.409423202050266,2.905270861363963,7.829963235062132
1,11,81091,100012,0.9107594406915864,2.774566422782072,9.83840579719168,9.884896805140176,8.932166957722128,2.0794666525073966,4.605570172878796,9.69427192522541,2.348911329202771,7.624064922455396,0.2807568943695149
2,6,82257,105726,6.81323170962075,3.3727707796890805,2.1014266762131486,0.11747031555138676,8.887124658091132,8.807484227858847,0.9418789098248248,1.3321706746113982,1.5515331875403404,5.95386081760172,1.268375272856388
3,8,50696,63669,3.456618158332867,2.6662147742682007,0.42111031354272077,5.984406335250957,3.0004935288536103,9.029785139853917,2.763484632117014,3.9386450063792577,7.854926860267476,8.307085501832725,6.417841180596157
4,3,68920,98505,5.706876857060784,5.306299673834721,1.4767558525131053,8.18819438718163,0.44506448422652833,9.109256499327248,3.459230124923849,7.884094977141198,6.414210234310053,0.6952104168849316,6.2971199115524765
5,6,77428,111350,3.3339107885320085,4.296895806274808,8.81988985122952,2.950666175996676,7.830755838725767,9.676204151335549,2.574428560602531,1.36552513202578,2.0277986372932197,1.1881452431880657,1.4841758663987237
6,7,104263,114894,7.576339639839272,8.109618896702127,0.9866051155955069,8.488530678957435,7.044471789035299,0.38503778548412804,2.363381367527807,9.893544598189525,2.118455816097274,3.0163170560573374,2.235698128887511
7,11,92862,117094,6.876100515029602,7.640927358316225,7.29863514484777,6.985715368726124,5.5549492681063555,7.139558167547554,8.545882486387567,7.745564955081998,7.805251181330304,2.349833391783921,3.459993399413739
8,5,73063,88602,3.4485932855887382,0.04595084585606091,1.4612292404209304,6.4932569914454845,3.0046816400416985,6.703112526621781,2.288429505927131,3.546923889168796,0.12849046683819254,2.6512728305853606,9.915265475979847
9,9,75422,98859,1.7831839873223598,0.061008071869950165,9.134955451516703,9.635000630719372,8.691786029765273,5.170473979592792,7.115752850191503,5.457019235991427,0.11488596230531223,0.8765417073173265,3.668810412558605
