user_id,experience,salary_expectation,C++_proficiency,Python_proficiency,Java_proficiency,SQL_proficiency,Excel_proficiency,JavaScript_proficiency,HTML_proficiency,CSS_proficiency,Machine Learning_proficiency,Data Analysis_proficiency,Project Management_proficiency
0,10,143473,0.40992919167486597,1.8331614164404364,2.8551868604394306,5.5940739042936825,0.28262485795482406,0.6792779402389748,9.904938491334079,0.49641962820368923,3.936276793529272,6.631390340579603,5.329926414761953
1,12,79104,5.3335588627044475,7.55750989867828,1.8163498000727674,9.352791933116569,3.591435002227591,6.37944750841236,0.7686385686489894,0.41982747590164404,3.8674528568503708,5.102386783384148,9.343005193941133
2,4,92169,0.8398342361792177,3.4055397592230796,2.1421791821233374,3.26794139369065,7.620551003849415,8.71028024158195,6.038056040265048,7.039985809845607,7.249495888115264,5.459762541572692,6.721017596611597
3,17,114020,3.539821616356962,3.7492401768936565,5.627400444912634,6.884782837749556,6.387269752602924,7.729545333367936,8.45030405856873,8.357930882473955,6.876340106863487,2.128547679139624,5.240069196168719
4,19,116699,8.033379034832514,3.0917229638622734,7.951758251548258,2.127720768274849,7.852351120850367,4.011966580347152,8.44686594675896,5.4403697381404434,0.4545776317443251,7.830123342947645,4.795822219062472
5,15,65036,0.7578025946928113,8.550563531849358,3.927734126169875,0.5729324878241959,3.4426778366960686,3.2171416670470023,0.7688981151040353,3.3966169273674405,0.14331593151095556,6.207070819167341,4.561986164934224
6,19,130895,1.2928155913147366,2.154766007802812,6.748350560946835,1.9737425674020792,0.7863955214862184,9.245659612789986,6.5737495716454655,5.6999239987091945,6.556046347014234,3.4909109348220513,2.056897840027424
7,23,97026,2.43051469174,4.134902254263723,4.921629169527443,5.865798221891318,4.337091166963308,6.779063647171711,2.337559026317184,6.2467847387898425,1.9224283457378744,9.093145410804764,4.562343624312658
8,24,82281,6.373443114523225,8.023991916141608,0.38426774833311805,5.677375575121211,0.613499161702854,2.848562686692623,7.805942156010829,6.608382867110972,9.72278442684262,3.8981215190275975,3.9812951987812384
9,19,135416,7.39938595588428,5.860911628522065,9.74307431544265,1.2038063309309555,1.0964211852126193,1.7780643746681268,9.837201232339488,1.1821761789424523,6.9478524997082935,9.889081479484545,6.944890419702942
10,23,71946,0.16671940864744883,5.329214242664468,3.845664418846624,5.4964447343062295,7.161808020753515,0.4866900211269476,3.1339082373390683,8.703524757298604,4.472934582261251,0.3139714787134318,1.9954929670876043
11,5,69886,6.97784705998929,4.708978069128457,6.3622905954101885,9.935502077413112,9.727222165707675,6.494408459719966,4.206047438363533,6.7463806105462645,5.940965122626823,4.298122900859465,4.871655973069088
12,4,87136,8.391875471404727,1.810656253387516,4.431302250290971,7.385639001668994,4.820894843960319,1.9446075080151026,3.960672503870767,9.31479289924369,4.631948137259966,7.96176128783017,5.017365243550719
13,16,82447,5.336507784440382,0.46867176320234405,5.492793688867734,3.1895930968379393,1.1625888290173658,4.723128693227208,0.018916175087206888,9.219795841521144,4.339030820027496,4.0926367169532725,1.2661277606596455
14,11,43083,5.082926325245813,2.4951749276063317,0.16303606884503608,5.468184745019168,0.04176308594937561,2.9453231743209107,9.957347330187213,0.6462763599132393,5.2597129276127,7.043089517101205,1.2834398221421506
15,14,96242,5.8435456436638935,0.7279529852651145,9.183367162075625,2.830295142169821,9.446534680882687,7.8242006417616725,0.26028172935455784,7.703164025952391,7.515901052023594,7.3046608397226365,0.030643097406820585
16,2,68407,6.291231097588486,1.6539550204286513,5.664963313599435,8.858428164718916,0.7811896010425212,1.3228078826619571,9.499189568525603,3.456182701607232,7.573597167805305,7.855875648143797,6.201886688462004
17,16,140938,0.7351518967777004,1.6038406408542394,4.126489013033048,5.685434925744292,1.4281377827974384,5.589139541103789,8.197861858388556,9.173157530458694,7.103623838052453,2.9143017083208544,3.6958086138593904
18,15,60058,2.708351340145445,3.111218136009973,8.210322043883131,7.21251178963961,2.184158153387321,9.810442557373966,1.7767897275055289,5.888216767927691,3.449075745191308,3.152071177379574,0.844099176934725
19,23,113997,6.169986998104991,3.6258884503166344,1.9230436004780027,3.816636824371764,6.868975263550526,2.2784232829942863,1.5048985214025157,0.9660020806668213,0.48543040431821116,2.8775630890360837,7.760550121208322
20,17,108779,6.146856747660405,1.430040077587127,2.127103774159859,9.37894853280172,1.2632262921635895,0.3489562767421206,6.710076180439933,8.207171078743418,4.723812089514476,2.191163456300489,5.306751677227673
21,1,118483,9.868968346468804,5.981817520385887,4.358438691978144,6.138498790904787,1.3057735307200646,4.031982485134995,5.088978103525539,9.206477720714375,6.389291211474573,9.887790216923003,1.5435054315006713
22,7,95624,4.811898398237123,3.759090368924074,4.731959526917391,6.503072854182115,7.208404176076879,1.9480598868525223,0.3243556726842922,8.775919329988515,7.874263971087569,8.291059344945577,2.101197171111433
23,7,118601,8.401435335897089,9.07352687929137,1.3419289860480688,5.658887406351213,3.6647681601318025,7.370192804485994,1.325993580522905,5.604171128862335,7.259616256213635,7.378374285306631,0.24291436246180687
24,22,132342,7.748748094388879,0.8015778935629991,9.198155432246018,8.826877227841779,3.344496236008725,0.8541601724111247,4.332820209472086,0.37736423068041813,5.5763581192234835,7.695575158006996,2.966634150188605
25,5,131667,8.947305830500058,0.5177644431422446,1.0673983898550155,4.588835629592515,8.156525701536532,5.641775522022931,0.07851753542352125,2.203670235565446,7.703258168663939,9.176395001397523,1.7047091731285602
26,4,95448,3.7952635775166765,8.85762772725085,8.591625118803366,5.782376633553689,6.676954504950205,0.7012841154588767,4.3228799897630035,1.4277996962988304,0.017787965269483452,6.998081483278792,9.896046216006013
27,3,51055,8.472011978422287,8.86182078701712,0.4058637521380315,3.899545937816314,1.5652136745446499,7.0995332291593485,8.754999874424255,9.186583475603328,1.558900750930604,2.7372033657471997,6.6809803005447765
28,0,126423,0.31372815101649687,2.312664879095511,3.6880275548669883,0.7085202332263729,5.582041757878917,0.7306057765456109,2.254290416640422,4.501121284324655,1.547782479734694,2.5293970005200417,6.892434611824515
29,9,147489,1.0014921350807826,5.937221026749894,4.070926730293104,3.509252968468126,7.058996092201011,1.5498655927613292,1.8835252744572184,8.994602083814488,5.448901459734373,9.917045268180901,1.8069497409942792
30,9,80251,2.3783210060845783,3.5123096613574245,5.982213848971336,4.491496369161468,9.640573559218332,2.8020928902991162,2.0280395570284213,8.548222765862235,4.334049173791015,7.249052290917321,6.769292278637849
31,12,50224,9.154233238970468,5.252980438006038,7.243133791460706,2.443110168353183,4.0042253378166714,2.1992368100153414,4.743177091354852,1.9686759019264999,0.0787618552816427,6.9551071410303225,8.388576698992864
32,7,104802,0.25115455789608165,1.1816281834264553,1.6979231020136731,5.764679680775612,4.0075357208606235,1.8345151408789073,4.404928363063294,8.684367441196649,4.6977941134277845,2.7942948703384274,0.02659522828659222
33,19,68702,3.6826988668572556,0.5336149526206679,9.741973859452932,9.789355879231357,4.86896920553278,5.678786771207481,0.6966795154195016,2.7038291246659787,8.22839572867486,6.905608879673913,6.185872075038381
34,9,53476,4.931456497213512,4.932290462234128,6.02789558403046,8.036536495302043,9.948940424626775,3.154685856595947,4.209071452269488,9.327990760385669,4.519647435429003,8.674746480718623,7.725985525373651
35,19,132360,3.1134561334366637,8.323305275056883,8.828817144923539,6.828016942160076,5.305077072116742,1.8710356056017985,9.134068728328547,8.385076647660267,2.0215357477019125,0.3370676462551203,7.570747974726302
36,15,94372,0.6467218908561057,1.371160680781468,1.3007329396310208,0.25755762032728113,1.94363397774737,4.056264134728731,5.894166320588971,5.916782190343145,2.785192609301559,7.144538394155427,8.578175543235941
37,17,135206,0.8084668775992732,9.884922360209782,1.6208267192906967,0.04383636625178711,7.146405870356024,3.4605121487584256,7.6398266558627315,5.412773133239232,1.791326766209731,7.8279039643681445,0.9672991806264841
38,21,66520,1.7981484692675453,2.7279553622006434,3.776422643015108,6.182061274201738,2.448049178577798,9.751111249947291,7.614499535221634,7.300196828082064,9.615421364355377,4.359148946422268,4.0800355178066
39,22,133619,4.135824943512661,1.1756402700988122,0.3938598893207179,0.26811233035162085,6.023938638788328,4.30493567906428,1.8010938284272293,4.0918336098843,2.1387451813869607,5.007171768461057,0.6972459280237142
40,7,144229,5.349252947480549,7.993159347732525,9.63708904592543,1.1033446874291597,8.116395891757248,3.4203179483663195,8.991435260181488,5.7527422441831275,3.2491368403192578,0.44588487355488704,3.0633701756662135
41,20,51467,5.974721337013858,2.9427193062754577,6.33552069834648,8.876002094265942,7.970051693069285,0.32861946155444577,5.640802432833393,6.607188277831947,3.484620848024461,9.710975851751103,9.73827239714417
42,7,127763,4.527602350952754,1.0210005414497991,7.374024138060818,7.923629046514181,8.439789996794302,8.496665093452425,8.314973912636152,0.644707716441042,4.131283411110771,8.242256907824046,5.0022823701126775
43,13,68106,6.2504532166513584,7.3789311242721904,9.631257756162983,0.39196541204398305,1.6488109212439916,9.57627817713346,4.439100112008017,8.541654175835902,1.7771313291236956,0.7531769201950234,4.717435014279053
44,23,124769,9.288404627487733,7.123207982785875,9.431405696364196,3.153819733746275,0.7561915923042639,8.02910671464488,8.889426495678991,6.355316354798272,2.0772849199139354,7.129760650786645,7.020603978734181
45,4,75124,8.78817687637055,9.150587310804333,1.1483911054168439,9.888231316533183,1.5819994416026595,7.259387003632228,1.1046922957448524,2.2766096240003177,2.7869255275855997,3.132463409401145,9.756434600869964
